level,notation,prefLabel@de,scopeNote@de
"1","KJ","Tschechoslowakische Sprachen (Tschechisch, Slowakisch)",""
"2","KJ 10","Handbücher",""
"2","KJ 20","Spezielle Bibliographien",""
"2","KJ 25","Forschungsdokumentationen",""
"2","KJ 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KJ 35","Zeitschriften",""
"2","KJ 40","Gesamtdarstellungen",""
"2","KJ 50","Einführungen. Lehrbücher.",""
"2","KJ 90","Quellentexte. Sprachdenkmäler",""
"2","KJ 100","Sprachgeschichte",""
"2","KJ 200","Sprachverbreitung. Sprachkontakte",""
"2","KJ 300","Grammatik",""
"2","KJ 600","Sprachsoziologie",""
"2","KJ 700","Dialekte",""
"2","KJ 900-","Angewandte Sprachwissenschaft",""
"3","KJ 900","Allgemeines",""
"3","KJ 910","Rhetorik",""
"3","KJ 920","Stilistik",""
"3","KJ 930","Übersetzung",""
"3","KJ 940","Didaktik",""
"3","KJ 945","Sprachlehrbücher",""
"1","KK","Tschechoslowakische Literaturen (Tschechisch, Slowakisch)",""
"2","KK 10","Handbücher",""
"2","KK 20","Spezielle Bibliographien",""
"2","KK 25","Forschungsdokumentationen",""
"2","KK 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KK 35","Zeitschriften",""
"2","KK 40","Gesamtdarstellungen",""
"2","KK 50","Einführungen. Lehrbücher.",""
"2","KK 80","Textkritik",""
"2","KK 100-","Literaturgeschichte",""
"3","KK 100","Allgemeines",""
"3","KK 130","Geschichte der regionalen Literaturen",""
"3","KK 150","Beziehungen zu anderen Literaturen",""
"3","KK 200","Einzelne Richtungen, Stile, Schulen",""
"3","KK 230","Ethnische Minderheiten in der Literatur",""
"3","KK 240","Schreibende Frauen und Frauen in der Literatur",""
"3","KK 250","Einzelne Themen, Stoffe, Motive",""
"2","KK 300-","Einzelne Gattungen",""
"3","KK 300","Allgemeines. Gattungsübergreifendes",""
"3","KK 400","Lyrik",""
"3","KK 500","Dramatik",""
"3","KK 600","Epik",""
"3","KK 800","Sonstige Gattungen und Formen",""
"2","KK 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","KK 950-","Anthologien. Textsammlungen",""
"3","KK 950","Allgemeine Sammlungen",""
"3","KK 970","Thematische Sammlungen",""
"2","KK 980-","Sammlungen nach Gattungen und Formen",""
"3","KK 980","Lyrik",""
"3","KK 985","Dramatik",""
"3","KK 990","Epik",""
"3","KK 995","Sonstige",""
"1","KN","Jugoslawische Sprachen (Slowenisch, Serbisch, Kroatisch…)",""
"2","KN 10","Handbücher",""
"2","KN 20","Spezielle Bibliographien",""
"2","KN 25","Forschungsdokumentationen",""
"2","KN 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KN 35","Zeitschriften",""
"2","KN 40","Gesamtdarstellungen",""
"2","KN 50","Einführungen. Lehrbücher.",""
"2","KN 90","Quellentexte. Sprachdenkmäler",""
"2","KN 100","Sprachgeschichte",""
"2","KN 200","Sprachverbreitung. Sprachkontakte",""
"2","KN 300","Grammatik",""
"2","KN 600","Sprachsoziologie",""
"2","KN 700","Dialekte",""
"2","KN 900-","Angewandte Sprachwissenschaft",""
"3","KN 900","Allgemeines",""
"3","KN 910","Rhetorik",""
"3","KN 920","Stilistik",""
"3","KN 930","Übersetzung",""
"3","KN 940","Didaktik",""
"3","KN 945","Sprachlehrbücher",""
"1","KO","Jugoslawische Literaturen (Slowenisch, Serbisch, Kroatisch…)",""
"2","KO 10","Handbücher",""
"2","KO 20","Spezielle Bibliographien",""
"2","KO 25","Forschungsdokumentationen",""
"2","KO 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KO 35","Zeitschriften",""
"2","KO 40","Gesamtdarstellungen",""
"2","KO 50","Einführungen. Lehrbücher.",""
"2","KO 80","Textkritik",""
"2","KO 100-","Literaturgeschichte",""
"3","KO 100","Allgemeines",""
"3","KO 130","Geschichte der regionalen Literaturen",""
"3","KO 150","Beziehungen zu anderen Literaturen",""
"3","KO 200","Einzelne Richtungen, Stile, Schulen",""
"3","KO 230","Ethnische Minderheiten in der Literatur",""
"3","KO 240","Schreibende Frauen und Frauen in der Literatur",""
"3","KO 250","Einzelne Themen, Stoffe, Motive",""
"2","KO 300-","Einzelne Gattungen",""
"3","KO 300","Allgemeines. Gattungsübergreifendes",""
"3","KO 400","Lyrik",""
"3","KO 500","Dramatik",""
"3","KO 600","Epik",""
"3","KO 800","Sonstige Gattungen und Formen",""
"2","KO 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","KO 950-","Anthologien. Textsammlungen",""
"3","KO 950","Allgemeine Sammlungen",""
"3","KO 970","Thematische Sammlungen",""
"2","KO 980-","Sammlungen nach Gattungen und Formen",""
"3","KO 980","Lyrik",""
"3","KO 985","Dramatik",""
"3","KO 990","Epik",""
"3","KO 995","Sonstige",""
"1","KP","Bulgarische Sprache",""
"2","KP 10","Handbücher",""
"2","KP 20","Spezielle Bibliographien",""
"2","KP 25","Forschungsdokumentationen",""
"2","KP 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KP 35","Zeitschriften",""
"2","KP 40","Gesamtdarstellungen",""
"2","KP 50","Einführungen. Lehrbücher.",""
"2","KP 90","Quellentexte. Sprachdenkmäler",""
"2","KP 100","Sprachgeschichte",""
"2","KP 200","Sprachverbreitung. Sprachkontakte",""
"2","KP 300","Grammatik",""
"2","KP 600","Sprachsoziologie",""
"2","KP 700","Dialekte",""
"2","KP 900-","Angewandte Sprachwissenschaft",""
"3","KP 900","Allgemeines",""
"3","KP 910","Rhetorik",""
"3","KP 920","Stilistik",""
"3","KP 930","Übersetzung",""
"3","KP 940","Didaktik",""
"3","KP 945","Sprachlehrbücher",""
"1","KS","Bulgarische Literatur",""
"2","KS 10","Handbücher",""
"2","KS 20","Spezielle Bibliographien",""
"2","KS 25","Forschungsdokumentationen",""
"2","KS 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KS 35","Zeitschriften",""
"2","KS 40","Gesamtdarstellungen",""
"2","KS 50","Einführungen. Lehrbücher.",""
"2","KS 80","Textkritik",""
"2","KS 100-","Literaturgeschichte",""
"3","KS 100","Allgemeines",""
"3","KS 130","Geschichte der regionalen Literaturen",""
"3","KS 150","Beziehungen zu anderen Literaturen",""
"3","KS 200","Einzelne Richtungen, Stile, Schulen",""
"3","KS 230","Ethnische Minderheiten in der Literatur",""
"3","KS 240","Schreibende Frauen und Frauen in der Literatur",""
"3","KS 250","Einzelne Themen, Stoffe, Motive",""
"2","KS 300-","Einzelne Gattungen",""
"3","KS 300","Allgemeines. Gattungsübergreifendes",""
"3","KS 400","Lyrik",""
"3","KS 500","Dramatik",""
"3","KS 600","Epik",""
"3","KS 800","Sonstige Gattungen und Formen",""
"2","KS 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","KS 950-","Anthologien. Textsammlungen",""
"3","KS 950","Allgemeine Sammlungen",""
"3","KS 970","Thematische Sammlungen",""
"2","KS 980-","Sammlungen nach Gattungen und Formen",""
"3","KS 980","Lyrik",""
"3","KS 985","Dramatik",""
"3","KS 990","Epik",""
"3","KS 995","Sonstige",""
"1","KV","Altslawische Sprache",""
"2","KV 10","Handbücher",""
"2","KV 20","Spezielle Bibliographien",""
"2","KV 25","Forschungsdokumentationen",""
"2","KV 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KV 35","Zeitschriften",""
"2","KV 40","Gesamtdarstellungen",""
"2","KV 50","Einführungen. Lehrbücher.",""
"2","KV 90","Quellentexte. Sprachdenkmäler",""
"2","KV 100","Sprachgeschichte",""
"2","KV 200","Sprachverbreitung. Sprachkontakte",""
"2","KV 300","Grammatik",""
"2","KV 600","Sprachsoziologie",""
"2","KV 700","Dialekte",""
"2","KV 900","Angewandte Sprachwissenschaft",""
"1","KW","Altslawische Literatur",""
"2","KW 10","Handbücher",""
"2","KW 20","Spezielle Bibliographien",""
"2","KW 25","Forschungsdokumentationen",""
"2","KW 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","KW 35","Zeitschriften",""
"2","KW 40","Gesamtdarstellungen",""
"2","KW 50","Einführungen. Lehrbücher.",""
"2","KW 80","Textkritik",""
"2","KW 100-","Literaturgeschichte",""
"3","KW 100","Allgemeines",""
"3","KW 130","Geschichte der regionalen Literaturen",""
"3","KW 150","Beziehungen zu anderen Literaturen",""
"3","KW 200","Einzelne Richtungen, Stile, Schulen",""
"3","KW 240","Frauen in der Literatur",""
"3","KW 250","Einzelne Themen, Stoffe, Motive",""
"2","KW 300-","Einzelne Gattungen",""
"3","KW 300","Allgemeines. Gattungsübergreifendes",""
"2","KW 950-","Anthologien. Textsammlungen",""
"3","KW 950","Allgemeine Sammlungen",""
"3","KW 970","Thematische Sammlungen",""
"3","KW 980","Sammlungen nach Gattungen und Formen",""
"0","L","Mittellatein. Altlatein. Altgriechisch u.a.",""
"1","LA","Klassische Philologie",""
"2","LA 10","Handbücher.",""
"2","LA 20","Spezielle Bibliographien",""
"2","LA 25","Forschungsdokumentationen",""
"2","LA 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","LA 35","Zeitschriften",""
"2","LA 40","Gesamtdarstellungen",""
"2","LA 50","Einführende Texte. Lehrbücher",""
"2","LA 100","Allgemeines",""
"1","LB","Lateinische Sprache (Alt- und Mittellatein)",""
"2","LB 10","Handbücher",""
"2","LB 20","Spezielle Bibliographien",""
"2","LB 25","Forschungsdokumentationen",""
"2","LB 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","LB 35","Zeitschriften",""
"2","LB 40","Gesamtdarstellungen",""
"2","LB 50","Einführende Texte. Lehrbücher",""
"2","LB 90","Geschichte der lateinischen Sprachwissenschaften.",""
"2","LB 100","Sprachgeschichte",""
"2","LB 200","Grammatik",""
"2","LB 300","Angewandte Sprachwissenschaft",""
"2","LB 350","Lehrbücher",""
"1","LC","Wissenschaft von der lateinischen Literatur",""
"2","LC 10","Handbücher",""
"2","LC 20","Spezielle Bibliographien",""
"2","LC 25","Forschungsdokumentationen",""
"2","LC 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","LC 35","Zeitschriften",""
"2","LC 40","Gesamtdarstellungen",""
"2","LC 50","Einführende Texte. Lehrbücher",""
"2","LC 100-","Literaturgeschichte",""
"3","LC 100","Allgemeines",""
"3","LC 120","Einzelne Epochen",""
"3","LC 140","Einzelne Gattungen",""
"2","LC 200","Rezeptionsforschung,",""
"1","LD","Lateinische Literatur",""
"2","LD 100","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","LD 200","Anthologien und Textsammlungen",""
"1","LE","Altgriechische Sprache",""
"2","LE 10","Handbücher,",""
"2","LE 20","Spezielle Bibliographien",""
"2","LE 25","Forschungsdokumentationen",""
"2","LE 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","LE 35","Zeitschriften",""
"2","LE 40","Gesamtdarstellungen",""
"2","LE 50","Einführende Texte. Lehrbücher",""
"2","LE 90","Geschichte der altgriechischen Sprachwissenschaften",""
"2","LE 100","Sprachgeschichte",""
"2","LE 200","Grammatik",""
"2","LE 300","Angewandte Sprachwissenschaft",""
"3","LE 350","Lehrbücher",""
"1","LF","Wissenschaft von der altgriechischen Literatur",""
"2","LF 10","Handbücher",""
"2","LF 20","Spezielle Bibliographien",""
"2","LF 25","Forschungsdokumentationen",""
"2","LF 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","LF 35","Zeitschriften",""
"2","LF 40","Gesamtdarstellungen",""
"2","LF 50","Einführende Texte. Lehrbücher",""
"2","LF 100-","Literaturgeschichte",""
"3","LF 100","Allgemeines",""
"3","LF 120","Einzelne Epochen",""
"3","LF 140","Einzelne Gattungen",""
"2","LF 200","Rezeptionsforschung,",""
"1","LG","Griechische Literatur",""
"2","LG 100","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","LG 200","Anthologien und Textsammlungen",""
"0","M","Sonstige Sprachen und Literaturen",""
"1","MA","Allgemeines",""
"2","MA 10","Handbücher",""
"2","MA 20","Spezielle Bibliographien",""
"2","MA 25","Forschungsdokumentationen",""
"2","MA 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","MA 35","Zeitschriften",""
"2","MA 40","Gesamtdarstellungen",""
"2","MA 50","Einführende Texte. Lehrbücher.",""
"1","MB","Indogermanische und indoeuropäische Sprachen und Literaturen",""
"2","MB 10","Handbücher",""
"2","MB 20","Spezielle Bibliographien",""
"2","MB 25","Forschungsdokumentationen",""
"2","MB 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","MB 35","Zeitschriften",""
"2","MB 40","Gesamtdarstellungen",""
"2","MB 50","Einführende Texte. Lehrbücher.",""
"2","MB 80","Textkritik. Interpretationssammlungen",""
"2","MB 90","Quellentexte. Sprachdenkmäler",""
"2","MB 100","Sprachgeschichte",""
"2","MB 150","Sprachverbreitung. Sprachkontakte",""
"2","MB 200","Grammatik",""
"2","MB 250","Sprachsoziologie",""
"2","MB 300","Dialekte",""
"2","MB 400","Angewandte Sprachwissenschaft",""
"2","MB 600-","Literaturgeschichte",""
"3","MB 600","Allgemeines",""
"3","MB 630","Geschichte der regionalen Literaturen",""
"3","MB 650","Beziehungen zu anderen Literaturen",""
"3","MB 700","Einzelne Richtungen, Stile, Schulen",""
"3","MB 740","Schreibende Frauen und Frauen in der Literatur",""
"3","MB 750","Einzelne Themen, Stoffe, Motive",""
"3","MB 800-","Einzelne Gattungen",""
"4","MB 800","Allgemeines. Gattungsübergreifendes",""
"2","MB 950-","Anthologien. Textsammlungen",""
"3","MB 950","Allgemeine Sammlungen",""
"3","MB 960","Sammlungen nach einzelnen Regionen",""
"3","MB 970","Thematische Sammlungen",""
"3","MB 980","Sammlungen nach Gattungen und Formen",""
"1","MC","Keltische Sprachen und Literaturen. Keltologie",""
"2","MC 10","Handbücher",""
"2","MC 20","Spezielle Bibliographien",""
"2","MC 25","Forschungsdokumentationen",""
"2","MC 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","MC 35","Zeitschriften",""
"2","MC 40","Gesamtdarstellungen",""
"2","MC 50","Einführungen. Lehrbücher.",""
"2","MC 80","Textkritik. Interpretationssammlungen",""
"2","MC 90","Quellentexte. Sprachdenkmäler",""
"2","MC 100","Sprachgeschichte",""
"2","MC 150","Sprachverbreitung. Sprachkontakte",""
"2","MC 200","Grammatik",""
"2","MC 250","Sprachsoziologie",""
"2","MC 300","Dialekte",""
"2","MC 350","Psycholinguistik",""
"2","MC 400-","Angewandte Sprachwissenschaft",""
"3","MC 400","Allgemeines",""
"3","MC 410","Rhetorik",""
"3","MC 420","Stilistik",""
"3","MC 430","Übersetzung",""
"3","MC 440","Didaktik",""
"3","MC 445","Sprachlehrbücher",""
"2","MC 600-","Literaturgeschichte",""
"3","MC 600","Allgemeines",""
"3","MC 630-","Geschichte der regionalen Literaturen",""
"4","MC 630","Allgemeines",""
"4","MC 632","Gälische Literatur",""
"4","MC 634","Irische Literatur",""
"4","MC 636","Schottische Literatur",""
"4","MC 638","Manx-Literatur",""
"4","MC 640","Kymrische und walisische Literatur",""
"4","MC 642","Kornische Literatur",""
"4","MC 644","Bretonische Literatur",""
"3","MC 650","Beziehungen zu anderen Literaturen",""
"3","MC 700","Einzelne Richtungen, Stile, Schulen",""
"3","MC 730","Ethnische Minderheiten in den Literaturen",""
"3","MC 740","Schreibende Frauen und Frauen in der Literatur",""
"3","MC 750","Einzelne Themen, Stoffe, Motive",""
"3","MC 800-","Einzelne Gattungen",""
"4","MC 800","Allgemeines. Gattungsübergreifendes",""
"4","MC 820","Lyrik",""
"4","MC 840","Dramatik",""
"4","MC 860","Epik",""
"4","MC 890","Sonstige Gattungen und Formen",""
"2","MC 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","MC 950-","Anthologien. Textsammlungen",""
"3","MC 950","Allgemeine Sammlungen",""
"3","MC 960","Sammlungen nach einzelnen Regionen",""
"3","MC 970","Thematische Sammlungen",""
"3","MC 980-","Sammlungen nach Gattungen und Formen",""
"4","MC 980","Lyrik",""
"4","MC 985","Dramatik",""
"4","MC 990","Epik",""
"4","MC 995","Sonstige",""
"1","MD","Baltische Sprachen und Literaturen",""
"2","MD 10","Handbücher",""
"2","MD 20","Spezielle Bibliographien",""
"2","MD 25","Forschungsdokumentationen",""
"2","MD 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","MD 35","Zeitschriften",""
"2","MD 40","Gesamtdarstellungen",""
"2","MD 50","Einführungen. Lehrbücher.",""
"2","MD 80","Textkritik. Interpretationssammlungen",""
"2","MD 90","Quellentexte. Sprachdenkmäler",""
"2","MD 100","Sprachgeschichte",""
"2","MD 150","Sprachverbreitung. Sprachkontakte",""
"2","MD 200","Grammatik",""
"2","MD 250","Sprachsoziologie",""
"2","MD 300","Dialekte",""
"2","MD 350","Psycholinguistik",""
"2","MD 400-","Angewandte Sprachwissenschaft",""
"3","MD 400","Allgemeines",""
"3","MD 410","Rhetorik",""
"3","MD 420","Stilistik",""
"3","MD 430","Übersetzung",""
"3","MD 440","Didaktik",""
"3","MD 445","Sprachlehrbücher",""
"2","MD 600-","Literaturgeschichte",""
"3","MD 600","Allgemeines",""
"3","MD 630-","Geschichte der regionalen Literaturen",""
"4","MD 630","Allgemeines",""
"4","MD 632","Litauische Literatur",""
"4","MD 634","Lettische Literatur",""
"4","MD 639","Weitere baltische Literaturen",""
"3","MD 650","Beziehungen zu anderen Literaturen",""
"3","MD 700","Einzelne Richtungen, Stile, Schulen",""
"3","MD 730","Ethnische Minderheiten in den Literaturen",""
"3","MD 740","Schreibende Frauen und Frauen in der Literatur",""
"3","MD 750","Einzelne Themen, Stoffe, Motive",""
"3","MD 800-","Einzelne Gattungen",""
"4","MD 800","Allgemeines. Gattungsübergreifendes",""
"4","MD 820","Lyrik",""
"4","MD 840","Dramatik",""
"4","MD 860","Epik",""
"4","MD 890","Sonstige Gattungen und Formen",""
"2","MD 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","MD 950-","Anthologien. Textsammlungen",""
"3","MD 950","Allgemeine Sammlungen",""
"3","MD 960","Sammlungen nach einzelnen Regionen",""
"3","MD 970","Thematische Sammlungen",""
"3","MD 980-","Sammlungen nach Gattungen und Formen",""
"4","MD 980","Lyrik",""
"4","MD 985","Dramatik",""
"4","MD 990","Epik",""
"4","MD 995","Sonstige",""
"1","ME","Skandinavische Sprachen und Literaturen. Skandinavistik",""
"2","ME 10","Handbücher",""
"2","ME 20","Spezielle Bibliographien",""
"2","ME 25","Forschungsdokumentationen",""
"2","ME 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","ME 35","Zeitschriften",""
"2","ME 40","Gesamtdarstellungen",""
"2","ME 50","Einführungen. Lehrbücher.",""
"2","ME 80","Textkritik. Interpretationssammlungen",""
"2","ME 90","Quellentexte. Sprachdenkmäler",""
"2","ME 100","Sprachgeschichte",""
"2","ME 150","Sprachverbreitung. Sprachkontakte",""
"2","ME 200","Grammatik",""
"2","ME 250","Sprachsoziologie",""
"2","ME 300","Dialekte",""
"2","ME 350","Psycholinguistik",""
"2","ME 400-","Angewandte Sprachwissenschaft",""
"3","ME 400","Allgemeines",""
"3","ME 410","Rhetorik",""
"3","ME 420","Stilistik",""
"3","ME 430","Übersetzung",""
"3","ME 440","Didaktik",""
"3","ME 445","Sprachlehrbücher",""
"2","ME 600-","Literaturgeschichte",""
"3","ME 600","Allgemeines",""
"3","ME 630-","Geschichte der regionalen Literaturen",""
"4","ME 630","Allgemeines",""
"4","ME 632","Altnordische Literaturen",""
"4","ME 634","Schwedische Literatur",""
"4","ME 636","Dänische Literatur",""
"4","ME 638","Norwegische Literatur",""
"4","ME 640","Isländische Literatur",""
"4","ME 649","Weitere skandinavische Literaturen",""
"3","ME 650","Beziehungen zu anderen Literaturen",""
"3","ME 700","Einzelne Richtungen, Stile, Schulen",""
"3","ME 730","Ethnische Minderheiten in den Literaturen",""
"3","ME 740","Schreibende Frauen und Frauen in der Literatur",""
"3","ME 750","Einzelne Themen, Stoffe, Motive",""
"3","ME 800-","Einzelne Gattungen",""
"4","ME 800","Allgemeines. Gattungsübergreifendes",""
"4","ME 820","Lyrik",""
"4","ME 840","Dramatik",""
"4","ME 860","Epik",""
"4","ME 890","Sonstige Gattungen und Formen",""
"2","ME 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","ME 950-","Anthologien. Textsammlungen",""
"3","ME 950","Allgemeine Sammlungen",""
"3","ME 960","Sammlungen nach einzelnen Regionen",""
"3","ME 970","Thematische Sammlungen",""
"3","ME 980-","Sammlungen nach Gattungen und Formen",""
"4","ME 980","Lyrik",""
"4","ME 985","Dramatik",""
"4","ME 990","Epik",""
"4","ME 995","Sonstige",""
"1","MG","Finnische und ungarische Sprachen und Literaturen. Finno-Ugristik",""
"2","MG 10","Handbücher",""
"2","MG 20","Spezielle Bibliographien",""
"2","MG 25","Forschungsdokumentationen",""
"2","MG 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","MG 35","Zeitschriften",""
"2","MG 40","Gesamtdarstellungen",""
"2","MG 50","Einführungen. Lehrbücher. Wörterbücher",""
"2","MG 80","Textkritik. Interpretationssammlungen",""
"2","MG 90","Quellentexte. Sprachdenkmäler",""
"2","MG 100","Sprachgeschichte",""
"2","MG 150","Sprachverbreitung. Sprachkontakte",""
"2","MG 200","Grammatik",""
"2","MG 250","Sprachsoziologie",""
"2","MG 300","Dialekte",""
"2","MG 350","Psycholinguistik",""
"2","MG 400-","Angewandte Sprachwissenschaft",""
"3","MG 400","Allgemeines",""
"3","MG 410","Rhetorik",""
"3","MG 420","Stilistik",""
"3","MG 430","Übersetzung",""
"3","MG 440","Didaktik",""
"3","MG 445","Sprachlehrbücher",""
"2","MG 600-","Literaturgeschichte",""
"3","MG 600","Allgemeines",""
"3","MG 630-","Geschichte der regionalen Literaturen",""
"4","MG 630","Allgemeines",""
"4","MG 632","Finnische Literaturen",""
"4","MG 634","Ungarische Literatur",""
"4","MG 649","Weitere finno-ugarische Literaturen",""
"3","MG 650","Beziehungen zu anderen Literaturen",""
"3","MG 700","Einzelne Richtungen, Stile, Schulen",""
"3","MG 730","Ethnische Minderheiten in den Literaturen",""
"3","MG 740","Schreibende Frauen und Frauen in der Literatur",""
"3","MG 750","Einzelne Themen, Stoffe, Motive",""
"3","MG 800-","Einzelne Gattungen",""
"4","MG 800","Allgemeines. Gattungsübergreifendes",""
"4","MG 820","Lyrik",""
"4","MG 840","Dramatik",""
"4","MG 860","Epik",""
"4","MG 890","Sonstige Gattungen und Formen",""
"2","MG 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","MG 950-","Anthologien. Textsammlungen",""
"3","MG 950","Allgemeine Sammlungen",""
"3","MG 960","Sammlungen nach einzelnen Regionen",""
"3","MG 970","Thematische Sammlungen",""
"3","MG 980","Sammlungen nach Gattungen und Formen",""
"3","MG 980","Lyrik",""
"3","MG 985","Dramatik",""
"3","MG 990","Epik",""
"3","MG 995","Sonstige",""
"1","MH","Albanische Sprache und Literatur",""
"2","MH 10","Handbücher",""
"2","MH 20","Spezielle Bibliographien",""
"2","MH 25","Forschungsdokumentationen",""
"2","MH 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","MH 35","Zeitschriften",""
"2","MH 40","Gesamtdarstellungen",""
"2","MH 50","Einführungen. Lehrbücher. Wörterbücher",""
"2","MH 80","Textkritik. Interpretationssammlungen",""
"2","MH 90","Quellentexte. Sprachdenkmäler",""
"2","MH 100","Sprachgeschichte",""
"2","MH 150","Sprachverbreitung. Sprachkontakte",""
"2","MH 200","Grammatik",""
"2","MH 250","Sprachsoziologie",""
"2","MH 300","Dialekte",""
"2","MH 350","Psycholinguistik",""
"2","MH 400-","Angewandte Sprachwissenschaft",""
"3","MH 400","Allgemeines",""
"3","MH 410","Rhetorik",""
"3","MH 420","Stilistik",""
"3","MH 430","Übersetzung",""
"3","MH 440","Didaktik",""
"3","MH 445","Sprachlehrbücher",""
"2","MH 600-","Literaturgeschichte",""
"3","MH 600","Allgemeines",""
"3","MH 630","Geschichte der regionalen Literaturen",""
"3","MH 650","Beziehungen zu anderen Literaturen",""
"3","MH 700","Einzelne Richtungen, Stile, Schulen",""
"3","MH 730","Ethnische Minderheiten in den Literaturen",""
"3","MH 740","Schreibende Frauen und Frauen in der Literatur",""
"3","MH 750","Einzelne Themen, Stoffe, Motive",""
"3","MH 800-","Einzelne Gattungen",""
"4","MH 800","Allgemeines. Gattungsübergreifendes",""
"4","MH 820","Lyrik",""
"4","MH 840","Dramatik",""
"4","MH 860","Epik",""
"4","MH 890","Sonstige Gattungen und Formen",""
"2","MH 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","MH 950-","Anthologien. Textsammlungen",""
"3","MH 950","Allgemeine Sammlungen",""
"3","MH 960","Sammlungen nach einzelnen Regionen",""
"3","MH 970","Thematische Sammlungen",""
"3","MH 980-","Sammlungen nach Gattungen und Formen",""
"4","MH 980","Lyrik",""
"4","MH 985","Dramatik",""
"4","MH 990","Epik",""
"4","MH 995","Sonstige",""
"1","MI","Türkische Sprachen und Literaturen",""
"2","MI 10","Handbücher",""
"2","MI 20","Spezielle Bibliographien",""
"2","MI 25","Forschungsdokumentationen",""
"2","MI 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","MI 35","Zeitschriften",""
"2","MI 40","Gesamtdarstellungen",""
"2","MI 50","Einführungen. Lehrbücher. Wörterbücher",""
"2","MI 80","Textkritik. Interpretationssammlungen",""
"2","MI 90","Quellentexte. Sprachdenkmäler",""
"2","MI 100","Sprachgeschichte",""
"2","MI 150","Sprachverbreitung. Sprachkontakte",""
"2","MI 200","Grammatik",""
"2","MI 250","Sprachsoziologie",""
"2","MI 300","Dialekte",""
"2","MI 350","Psycholinguistik",""
"2","MI 400-","Angewandte Sprachwissenschaft",""
"3","MI 400","Allgemeines",""
"3","MI 410","Rhetorik",""
"3","MI 420","Stilistik",""
"3","MI 430","Übersetzung",""
"3","MI 440","Didaktik",""
"3","MI 445","Sprachlehrbücher",""
"3","MI 600","Literaturgeschichte",""
"2","MI 600","Allgemeines",""
"3","MI 630","Geschichte der regionalen Literaturen",""
"3","MI 650","Beziehungen zu anderen Literaturen",""
"3","MI 700","Einzelne Richtungen, Stile, Schulen",""
"3","MI 730","Ethnische Minderheiten in den Literaturen",""
"3","MI 740","Schreibende Frauen und Frauen in der Literatur",""
"3","MI 750","Einzelne Themen, Stoffe, Motive",""
"3","MI 800-","Einzelne Gattungen",""
"4","MI 800","Allgemeines. Gattungsübergreifendes",""
"4","MI 820","Lyrik",""
"4","MI 840","Dramatik",""
"4","MI 860","Epik",""
"4","MI 890","Sonstige Gattungen und Formen",""
"2","MI 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","MI 950-","Anthologien. Textsammlungen",""
"3","MI 950","Allgemeine Sammlungen",""
"3","MI 960","Sammlungen nach einzelnen Regionen",""
"3","MI 970","Thematische Sammlungen",""
"3","MI 980-","Sammlungen nach Gattungen und Formen",""
"4","MI 980","Lyrik",""
"4","MI 985","Dramatik",""
"4","MI 990","Epik",""
"4","MI 995","Sonstige",""
"1","MJ","Neugriechische Sprache und Literatur",""
"2","MJ 10","Handbücher",""
"2","MJ 20","Spezielle Bibliographien",""
"2","MJ 25","Forschungsdokumentationen",""
