notation,prefLabel,scopeNote,level
KNGR,Road transport industries,"For motor mechanic skills, see TRCS “Automotive (motor mechanic) skills”; for road transport and haulage trades, use TRCT “Road transport and haulage trades”",4
KNGS,Shipping industries,"For maritime / nautical trades, use TRLT “maritime / nautical trades”",4
KNGT,Railway transport industries,"For railway trades, use TRFT “Railway trades”",4
KNGV,Aerospace & air transport industries,"For aviation skills / piloting, see TRPS “Aviation skills / piloting”",4
KNGV1,Airports,,5
KNJ,Construction & heavy industry,,3
KNJC,Construction industry,"For building skills and trades, see TNT “Building skills and trades” and following",4
KNJH,"Iron, steel & metals industries","For engineering skills and trades, see TGX “Engineering skills and trades” and following",4
KNP,Distributive industries,,3
KNPR,Retail sector,,4
KNPW,Wholesale sector,,4
KNS,Service industries,,3
KNSG,Tourism industry,,4
KNSH,Hospitality industry,"For hotel and catering trades, use TTVC “Hotel and catering trades”",4
KNSJ,Events management industries,,4
KNSP,Sport & leisure industries,,4
KNSS,Security services,,4
KNSS1,Surveillance services,,5
KNST,Financial services industry,,4
KNSX,Fashion & beauty industries,"See also: AKTA ""Fashion design and theory""; WJF “Fashion and style guides”. For hairdressing and salon skills, use TTVH “Hairdressing and salon skills”",4
KNSZ,Funeral services,"Use for works from business, industrial studies or careers perspective. Use VFJX “Coping with death and bereavement” for self-help and advice",4
KNT,"Media, information & communication industries",See also: GTC “Communication studies”; JFD “Media studies”,3
KNTC,Cinema industry,"See also: APF “Films, Cinema” and following for arts aspects",4
KNTD,Radio & television industry,"See also: APT “Television” and following, APW “Radio” for arts aspects; JFDT “TV and society” for media studies aspects",4
KNTF,Music industry,See also: AV “Music” and following for arts aspects,4
KNTJ,Press & journalism,See also: DNJ “Reportage and collected journalism”,4
KNTP,Publishing industry & book trade,,4
KNTR,"Printing, packaging & reprographic industry",,4
KNTT,Postal & telecommunications industries,,4
KNTX,Information technology industries,,4
KNTX1,Internet & WWW industries,Class here: ISPs etc. See also: KJE “E-commerce: business aspects”,5
KNTY,Advertising industry,See also: KJSA “Advertising”,4
KNV,Civil service & public sector,See also: JPP “Public administration”,3
KNX,"Industrial relations, health & safety",,3
KNXB,Industrial relations,,4
KNXB1,Strikes,,5
KNXB2,Trade unions,,5
KNXB3,Industrial arbitration & negotiation,,5
KNXC,Health & safety issues,See also: MMRP “Occupational medicine”; JMJ “Occupational and industrial psychology”; JFFU “Public safety issues”,4
L,Law,"For law for the layperson, use VSD “Law, citizenship and rights for the lay person”",1
LA,Jurisprudence & general issues,,2
LAB,Jurisprudence & philosophy of law,,3
LAF,Systems of law,,3
LAFC,Common law,,4
LAFD,Civil codes / Civil law,,4
LAFR,Roman law,,4
LAFS,Islamic law,,4
LAFX,Ecclesiastical (canon) law,,4
LAM,Comparative law,,3
LAQ,Law & society,Class here: socio-legal studies,3
LAQG,Gender & the law,,4
LAR,Criminology: legal aspects,,3
LAS,Legal skills & practice,,3
LASD,Advocacy,,4
LASP,Paralegals & paralegalism,,4
LAT,Legal profession: general,See also: LNAL “Regulation of legal profession”,3
LATC,Legal ethics & professional conduct,,4
LAY,Law as it applies to other professions,"Note: use for law books aimed at non-legal professionals, eg law for businessmen, law for medical practitioners, etc;  use with other code indicating profession concerned",3
LAZ,Legal history,,3
LB,International law,,2
LBB,Public international law,,3
LBBC,Treaties & other sources of international law,,4
LBBC1,Customary law,,5
LBBD,Diplomatic law,,4
LBBF,Jurisdiction & immunities,,4
LBBJ,International law of territory & statehood,,4
LBBK,Law of the sea,"Note: law concerning maritime boundaries and marine resources, etc, as it affects sovereign states. See also: LBFM “International maritime law”",4
LBBM,International economic & trade law,,4
LBBM1,Tariffs,,5
LBBM3,Investment treaties & disputes,,5
LBBP,International environmental law,,4
LBBR,International human rights law,,4
LBBS,International humanitarian law,"Class here: refugee law, law of war",4
LBBU,International organisations & institutions,,4
LBBV,Responsibility of states & other entities,,4
LBBZ,International criminal law,,4
LBD,"International law of transport, communications & commerce",,3
LBDA,International space & aerospace law,,4
LBDK,Transnational commercial law,,4
LBDM,International maritime law,"Note: law concerning shipping, cargo, insurance, piracy, etc, as it affects commercial bodies, but not sovereign states. See also: LBBK “Law of the sea”",4
LBDT,International communications & telecommunications law,,4
LBG,Private international law & conflict of laws,,3
LBH,Settlement of international disputes,,3
LBHG,International courts & procedures,,4
LBHT,International arbitration,,4
LBL,International law reports,,3
LN,Laws of Specific jurisdictions,"Note: use LN* codes with appropriate Geographical qualifier for works on laws of all specific national, state and regional jurisdictions, eg England and Wales, Scotland, European Union, USA, Texas, Nigeria, etc. Use LN* codes also for works that are not specific to any jurisdiction, in conjunction with LAM “Comparative law” where appropriate",2
LNA,Legal system: general,,3
LNAA,Courts & procedure,,4
LNAA1,Judicial powers,,5
LNAA2,Legal system: law of contempt,,5
LNAC,"Civil procedure, litigation & dispute resolution",,4
LNAC1,Civil remedies,,5
LNAC12,Restitution,,6
LNAC14,Damages & compensation,,6
LNAC16,Injunctions & other orders,,6
LNAC3,Civil procedure: law of evidence,,5
LNAC5,"Arbitration, mediation & alternative dispute resolution",,5
LNAF,Legal system: costs & funding,Class here: legal aid,4
LNAL,Regulation of legal profession,,4
LNB,Private / Civil law: general works,,3
LNC,"Company, commercial & competition law",,3
LNCB,Commercial law,,4
LNCB1,Franchising law,,5
LNCB2,E-commerce law,,5
LNCB3,Sale of goods law,,5
LNCB4,Outsourcing law,,5
LNCB5,Shipping law,See also: LBFM “International maritime law” for international aspects,5
LNCB6,Aviation law,,5
LNCD,Company law,,4
LNCD1,Mergers & acquisitions law,,5
LNCF,Partnership law,,4
LNCH,Competition law / Antitrust law,,4
LNCJ,Contract law,,4
LNCL,Agency law,,4
LNCN,Procurement law,,4
LNCQ,Construction & engineering law,"Class here: building contracts, construction adjudication and arbitration, and regulations such as the IEE Wiring Regulations",4
LNCR,Energy & natural resources law,,4
LND,Constitutional & administrative law,,3
LNDA,Citizenship & nationality law,,4
LNDA1,Immigration law,,5
LNDA3,Asylum law,,5
LNDC,Human rights & civil liberties law,,4
LNDC2,Privacy law,,5
LNDC4,Freedom of expression law,,5
LNDF,Freedom of information law,,4
LNDH,Government powers,,4
LNDK,Military & defence law,,4
LNDM,Judicial review,,4
LNDP,Parliamentary & legislative practice,,4
LNDS,Election law,,4
LNDU,Local government law,,4
LNF,Criminal law & procedure,,3
LNFB,Criminal justice law,,4
LNFG,Offences against the government,,4
LNFJ,Offences against the person,,4
LNFJ1,Harassment law,,5
LNFL,Offences against property,,4
LNFN,Fraud,,4
LNFQ,Juvenile criminal law,,4
LNFR,"Offences against public health, safety, order",,4
LNFT,"Road traffic law, motoring offences",,4
LNFV,Terrorism law,,4
LNFX,Criminal procedure,,4
LNFX1,Sentencing & punishment,,5
LNFX3,Criminal procedure: law of evidence,,5
LNFX5,Police law & police procedures,,5
LNH,Employment & labour law,,3
LNHD,Discrimination in employment law,,4
LNHH,Occupational health & safety law,,4
LNHR,Industrial relations & trade unions law,,4
LNHU,Employment contracts,Note: includes remuneration and benefits,4
LNJ,Entertainment & media law,"Class here: material on public performances, recording contracts, etc",3
LNJD,Defamation law (slander & libel),,4
LNJS,Sport & the law,,4
LNJX,"Advertising, marketing & sponsorship law",,4
LNK,"Environment, transport & planning law","For energy and natural resources law, use LNCR “Energy and natural resources law”",3
LNKF,Agricultural law,,4
LNKG,Animal law,,4
LNKJ,Environment law,,4
LNKN,Nature Conservation law,,4
LNKT,Transport law,,4
LNKV,Highways,,4
LNKW,Planning law,,4
LNL,Equity & trusts,See also: LNTC “Charity law”; LNUT “Trusts and estates taxation”; LNW “Wills and probate / Succession”,3
LNM,Family law,,3
LNMB,Family law: marriage & divorce,,4
LNMC,Family law: cohabitation,,4
LNMF,Family law: same-sex partnership,,4
LNMK,Family law: children,"Class here: law relating to abduction, abuse, adoption, care proceedings, wardship, etc",4
LNP,Financial law,,3
LNPA,Accounting law,,4
LNPB,Banking law,,4
LNPC,Bankruptcy & insolvency,,4
LNPD,Capital markets & securities law & regulation,,4
LNPF,Financial services law & regulation,,4
LNPN,Insurance law,,4
LNPP,Pensions law,,4
LNQ,IT & Communications law,See also: LNCB2 “E-commerce law”,3
LNQD,Data protection law,,4
LNR,Intellectual property law,,3
LNRC,Copyright law,,4
LNRD,Patents law,,4
LNRF,Trademarks law,,4
LNRL,Designs law,,4
LNRV,Confidential information law,,4
LNS,Property law,"For planning law, see LNKW “Planning law”",3
LNSH,Land & real estate law,,4
LNSH1,Ownership & mortgage law,,5
LNSH3,Landlord & tenant law,,5
LNSH5,Conveyancing law,,5
LNSH7,Rating & valuation law,,5
LNSH9,Housing law,,5
LNSP,Personal property law,,4
LNT,Social law,,3
LNTC,Charity law,,4
LNTD,Education & the law,,4
LNTH,Social security & welfare law,,4
LNTH1,Social insurance law,,5
LNTJ,Public health & safety law,,4
LNTM,Medical & healthcare law,,4
LNTM1,Mental health law,,5
LNTM2,Regulation of medicines & medical devices,,5
LNTQ,Disability & the law,,4
LNTS,Law & the elderly,,4
LNTU,Consumer protection law,,4
LNTX,"Licensing, gaming & club law",,4
LNU,Taxation & duties law,,3
LNUC,Corporate tax,,4
LNUP,Personal tax,,4
LNUS,Sales tax  & Customs duties,"Class here: VAT, GST",4
LNUT,Trusts & estates taxation,,4
LNV,Torts / Delicts,"For damages, use LNAC14 “Damages and compensation”",3
LNVC,Negligence,Note: includes both general and professional negligence,4
LNVF,Nuisance,,4
LNVJ,Personal injury,,4
LNW,Wills & probate / Succession,,3
LNZ,Primary sources of law,,3
LNZC,Case law,,4
LNZL,Legislation,,4
LR,Law: study & revision guides,,2
M,Medicine,See also: VFD “Popular medicine and health”,1
MB,Medicine: general issues,,2
MBD,Medical profession,,3
MBDC,Medical ethics & professional conduct,,4
MBDP,Doctor/patient relationship,,4
MBF,Medical bioinformatics,,3
MBG,Medical equipment & techniques,,3
MBGL,Medical laboratory testing & techniques,,4
MBGR,Medical research,,4
MBGR1,Clinical trials,,5
MBGT,Telemedicine,,4
MBN,Public health & preventive medicine,,3
MBNC,Medical screening,,4
MBNH,Personal & public health,,4
MBNH1,Hygiene,,5
MBNH2,Environmental factors,,5
MBNH3,Dietetics & nutrition,,5
MBNH4,"Birth control, contraception, family planning",,5
MBNH9,Health psychology,,5
MBNS,Epidemiology & medical statistics,,4
MBP,Health systems & services,,3
MBPC,General practice,,4
MBPK,Mental health services,,4
MBPM,Medical administration & management,,4
MBPR,Medical insurance,,4
MBQ,Medicolegal issues,,3
MBS,Medical sociology,,3
MBX,History of medicine,,3
MF,Pre-clinical medicine: basic sciences,See also: PSB “Biochemistry”,2
MFC,Anatomy,,3
MFCC,Cytology,,4
MFCH,Histology,,4
MFCR,Regional anatomy,,4
MFCX,Dissection,,4
MFG,Physiology,,3
MFGC,Cellular physiology,,4
MFGG,Regional physiology,,4
MFGM,Metabolism,,4
MFGV,"Biomechanics, human kinetics","Class here: exercise physiology. See also: WSDF “Sport science, physical education”; MMS “Sports injuries and medicine”",4
MFK,"Human reproduction, growth & development",,3
MFKC,Reproductive medicine,,4
MFKC1,Infertility & fertilization,,5
MFKC3,Embryology,,5
MFKH,Human growth & development,,4
MFKH3,Maturation & ageing,,5
MFN,Medical genetics,,3
MJ,Clinical & internal medicine,,2
MJA,Medical diagnosis,,3
MJAD,Examination of patients,,4
MJC,Diseases & disorders,,3
MJCG,Congenital diseases & disorders,,4
MJCG1,Hereditary diseases & disorders,,5
MJCJ,Infectious & contagious diseases,,4
MJCJ1,Venereal diseases,,5
MJCJ2,HIV / AIDS,,5
MJCJ3,Hospital infections,,5
MJCL,Oncology,,4
MJCL1,Radiotherapy,,5
MJCL2,Chemotherapy,,5
MJCM,Immunology,,4
MJCM1,Allergies,,5
MJD,Cardiovascular medicine,,3
MJE,Musculoskeletal medicine,See also: MNS “Orthopaedics and fractures”,3
MJF,Haematology,,3
MJG,Endocrinology,,3
MJGD,Diabetes,,4
MJH,Gastroenterology,,3
MJJ,Hepatology,,3
MJK,Dermatology,,3
MJL,Respiratory medicine,,3
MJM,Rheumatology,,3
MJN,Neurology & clinical neurophysiology,,3
MJNA,Autism & Asperger’s Syndrome,,4
MJND,Alzheimer’s & dementia,,4
MJP,Otorhinolaryngology (ENT),,3
MJPD,Audiology & otology,Class here: deafness,4
MJQ,Ophthalmology,,3
MJR,Renal medicine & nephrology,,3
MJRD,Haemodialysis,,4
MJS,Urology & urogenital medicine,"Class here: impotence, male sexual dysfunction",3
MJT,Gynaecology & obstetrics,,3
MJTF,Materno-fetal medicine,,4
MJW,Paediatric medicine,,3
MJWN,Neonatal medicine,,4
MJX,Geriatric medicine,,3
MJZ,Gene therapy,,3
MM,Other branches of medicine,,2
MMB,Anaesthetics,,3
MMBP,Pain & pain management,,4
MMC,Palliative medicine,,3
MMD,Dentistry,,3
MMDS,Oral & maxillofacial surgery,,4
MMF,Pathology,,3
MMFC,Cytopathology,,4
MMFH,Histopathology,Class here: biopsy,4
MMFM,Medical microbiology & virology,,4
MMFP,Medical parasitology,,4
MMG,Pharmacology,,3
MMGT,Medical toxicology,,4
MMGW,Psychopharmacology,,4
MMH,Psychiatry,,3
MMJ,Clinical psychology,See also: JMP “Abnormal psychology”,3
MMJT,Psychotherapy,,4
MMJT1,Cognitive behavioural therapy,,5
MMK,Accident & emergency medicine,,3
MMKB,Trauma & shock,,4
MMKD,Burns,,4
MMKL,Intensive care medicine,,4
MMN,Nuclear medicine,,3
MMP,Medical imaging,See also: TTBM “Imaging systems and technology” for underlying technology,3
MMPF,Ultrasonics,,4
MMPG,Nuclear magnetic resonance (NMR / MRI),,4
MMPH,Radiology,,4
MMPJ,Tomography,,4
MMQ,Forensic medicine,,3
MMR,Environmental medicine,,3
MMRB,Aviation & space medicine,,4
MMRD,Diving & hyperbaric medicine,,4
MMRP,Occupational medicine,See also: KNXC “Occupational / industrial health and safety”,4
MMRT,Tropical medicine,,4
MMS,Sports injuries & medicine,"See also: WSDF “Sports science, physical education”",3
MMZ,Therapy & therapeutics,Use for disorders and therapies not listed separately. See also: MJCL1 “Radiotherapy”; MJCL2 “Chemotherapy”; MMJT “Psychotherapy”; MQS “Physiotherapy”; MQT “Occupational therapy”,3
MMZD,Eating disorders & therapy,,4
MMZF,Obesity: treatment & therapy,,4
MMZL,Speech & language disorders & therapy,,4
MMZR,Addiction & therapy,,4
MMZS,Sleep disorders & therapy,,4
MN,Surgery,"For oral and maxilliofacial surgery, use MMDS “Oral and maxilliofacial surgery”",2
MNB,Surgical techniques,,3
MNC,General surgery,,3
MNG,Gastrointestinal & colorectal surgery,,3
MNH,Cardiothoracic surgery,,3
MNJ,Vascular surgery,,3
MNK,Surgical oncology,,3
MNL,Critical care surgery,,3
MNN,Neurosurgery,,3
MNP,Plastic & reconstructive surgery,,3
MNPC,Cosmetic surgery,,4
MNQ,Transplant surgery,,3
MNS,Orthopaedics & fractures,,3
MNZ,Peri-operative care,,3
MQ,Nursing & ancillary services,,2
MQC,Nursing,,3
MQCA,Nursing fundamentals & skills,,4
MQCB,Nursing research & theory,,4
MQCH,Nurse/patient relationship,,4
MQCL,Nursing specialties,,4
MQCL1,Accident & emergency nursing,,5
MQCL2,Intensive care nursing,,5
MQCL3,Paediatric nursing,,5
MQCL4,Geriatric nursing,,5
MQCL5,Psychiatric nursing,,5
MQCL6,Surgical nursing,,5
MQCL9,Terminal care nursing,,5
MQCM,Nursing pharmacology,,4
MQCW,Nursing sociology,,4
MQCX,Community nursing,,4
MQCZ,Nursing management & leadership,,4
MQD,Midwifery,,3
MQDB,Birthing methods,,4
MQF,First aid & paramedical services,,3
MQH,Radiography,,3
MQK,Chiropody & podiatry,,3
MQP,Pharmacy / dispensing,,3
MQR,Optometry / opticians,,3
MQS,Physiotherapy,,3
MQT,Occupational therapy,,3
MQTC,"Creative therapy (eg art, music, drama)",,4
MQU,Medical counselling,,3
MQV,Rehabilitation,,3
MQVB,Rehabilitation: brain & spinal injuries,,4
MQW,Biomedical engineering,,3
MQWB,Orthotics,,4
MQWP,Prosthetics,,4
MQZ,Mortuary practice,,3
MR,Medical study & revision guides & reference material,,2
MRG,Medical study & revision guides,,3
MRGD,Medical revision aids: MRCP,,4
MRGK,Medical revision aids: MRCS,,4
MRGL,Medical revision aids: PLAB,,4
MRT,"Medical charts, colour atlases",,3
MX,Complementary medicine,"Note: use MX* codes for works for medical students and professionals only; see VXH “Complementary therapies, healing and health” and following for MBS and popular treatments",2
MXH,Chiropractic & osteopathy,,3
MZ,Veterinary medicine,,2
MZC,Veterinary medicine: small animals (pets),,3
MZD,Veterinary medicine: large animals (domestic / farm),,3
MZDH,Equine veterinary medicine,,4
MZF,Veterinary medicine: laboratory animals,,3
MZG,Veterinary medicine: exotic & zoo animals,,3
MZH,Veterinary anatomy & physiology,,3
MZK,Veterinary pathology & histology,,3
MZL,Veterinary nutrition,,3
MZM,Veterinary medicine: infectious diseases & therapeutics,,3
MZMP,"Veterinary bacteriology, virology, parasitology",,4
MZP,Veterinary pharmacology,,3
MZR,Veterinary radiology,,3
MZS,Veterinary surgery,,3
MZSN,Veterinary anaesthetics,,4
MZT,Veterinary dentistry,,3
MZV,Veterinary nursing,,3
MZX,Complementary medicine for animals,,3
P,Mathematics & science,Do not use “P” on individual books; select appropriate code(s) from Section P below,1
PB,Mathematics,See also: VSN “Adult numeracy guides and handbooks”,2
PBB,Philosophy of mathematics,,3
PBC,Mathematical foundations,,3
PBCD,Mathematical logic,,4
PBCH,Set theory,,4
PBCN,Number systems,,4
PBD,Discrete mathematics,Class here: finite mathematics,3
PBF,Algebra,,3
PBG,Groups & group theory,,3
PBH,Number theory,,3
PBJ,Pre-calculus,,3
PBK,Calculus & mathematical analysis,,3
PBKA,Calculus,,4
PBKB,"Real analysis, real variables",,4
PBKD,"Complex analysis, complex variables",,4
PBKF,Functional analysis & transforms,"Class here: Fourier, Hilbert, Laplace, Z transforms",4
PBKJ,Differential calculus & equations,,4
PBKL,Integral calculus & equations,,4
PBKQ,Calculus of variations,,4
PBKS,Numerical analysis,,4
PBM,Geometry,,3
PBMB,Trigonometry,,4
PBMH,Euclidean geometry,,4
PBML,Non-Euclidean geometry,,4
PBMP,Differential & Riemannian geometry,,4
PBMS,Analytic geometry,,4
PBMW,Algebraic geometry,,4
PBMX,Fractal geometry,,4
PBP,Topology,,3
PBPD,Algebraic topology,,4
PBPH,Analytic topology,,4
PBT,Probability & statistics,,3
PBTB,Bayesian inference,,4
PBU,Optimization,,3
PBUD,Game theory,,4
PBUH,Linear programming,,4
PBV,Combinatorics & graph theory,,3
PBW,Applied mathematics,See also: TBJ “Maths for engineers”; PDE “Maths for scientists”; UYAM “Maths for computer scientists”,3
PBWH,Mathematical modelling,,4
PBWL,Stochastics,,4
PBWR,Nonlinear science,,4
PBWS,Chaos theory,,4
PBWX,Fuzzy set theory,,4
PBX,History of mathematics,,3
PD,Science: general issues,,2
PDA,Philosophy of science,,3
PDC,Scientific nomenclature & classification,,3
PDD,Scientific standards,,3
PDDM,Mensuration & systems of measurement,,4
PDE,Maths for scientists,,3
PDG,Industrial applications of scientific research & technological innovation,,3
PDK,Science funding & policy,,3
PDN,"Scientific equipment, experiments & techniques",,3
PDND,Microscopy,,4
PDR,Impact of science & technology on society,See also: JFMG “Ethical issues: scientific and technological developments”,3
PDX,History of science,,3
PDZ,Popular science,"Use with other P* code indicating area of science given popular treatment. See also: WNX “Popular astronomy and space”; TQ “Environmental science, technology and engineering” and following",3
PDZM,Popular mathematics,,4
PG,"Astronomy, space & time","For popular astronomy, use WNX “Popular astronomy and space”; for astrophysics, use PHVB “Astrophysics”; for space travel and exploration, see TTD “Space science”",2
PGC,Theoretical & mathematical astronomy,,3
PGG,"Astronomical observation: observatories, equipment & methods",,3
PGK,Cosmology & the universe,,3
PGM,Galaxies & stars,,3
PGS,Solar system: the Sun & planets,,3
PGT,Astronomical charts & atlases,,3
PGZ,"Time (chronology), time systems & standards","For horology, see TDPB1 “Clocks, chronometers and watches (horology)”",3
PH,Physics,"For experimental techniques, use PDN “Scientific equipment, experiments and techniques” plus appropriate PH* code",2
PHD,Classical mechanics,,3
PHDB,Elementary mechanics,,4
PHDD,Analytical mechanics,,4
PHDF,Fluid mechanics,,4
PHDS,Wave mechanics (vibration & acoustics),,4
PHDT,Dynamics & statics,,4
PHDV,Gravity,,4
PHDY,Energy,,4
PHF,Materials / States of matter,,3
PHFB,Low temperature physics,,4
PHFC,Condensed matter physics (liquid state & solid state physics),,4
PHFC1,Soft matter physics,,5
PHFC2,Mesoscopic physics,,5
PHFG,Physics of gases,,4
PHFP,Plasma physics,,4
PHH,Thermodynamics & heat,,3
PHJ,Optical physics,,3
PHJL,Laser physics,,4
PHK,"Electricity, electromagnetism & magnetism",,3
PHM,Atomic & molecular physics,,3
PHN,Nuclear physics,,3
PHP,Particle & high-energy physics,,3
PHQ,Quantum physics (quantum mechanics & quantum field theory),,3
PHR,Relativity physics,,3
PHS,Statistical physics,,3
PHU,Mathematical physics,,3
PHV,Applied physics,,3
PHVB,Astrophysics,,4
PHVD,Medical physics,,4
PHVG,Geophysics,,4
PHVJ,Atmospheric physics,,4
PHVN,Biophysics,,4
PHVQ,Chemical physics,,4
PHVS,Cryogenics,,4
PN,Chemistry,"For laboratory technique and experiments, use PDN “Scientific equipment, experiments and techniques” plus appropriate PN* code. See also: TDC “Industrial chemistry”. For environmental chemistry, see TQ “Environmental science, engineering and technology and following”",2
PNF,Analytical chemistry,,3
PNFC,Chromatography,,4
PNFR,Magnetic resonance,,4
PNFS,"Spectrum analysis, spectrochemistry, mass spectrometry",,4
PNK,Inorganic chemistry,,3
PNN,Organic chemistry,,3
PNND,Organometallic chemistry,,4
PNNP,Polymer chemistry,,4
PNR,Physical chemistry,,3
PNRC,Colloid chemistry,,4
PNRD,Catalysis,,4
PNRH,Electrochemistry & magnetochemistry,,4
PNRL,"Nuclear chemistry, photochemistry & radiation",,4
PNRP,Quantum & theoretical chemistry,,4
PNRS,Solid state chemistry,,4
PNRW,Thermochemistry & chemical thermodynamics,,4
PNRX,Surface chemistry & adsorption,,4
PNT,Crystallography,,3
PNV,Mineralogy & gems,,3
PS,"Biology, life sciences",See also: WN “Natural history” and following,2
PSA,Life sciences: general issues,,3
PSAB,Taxonomy & systematics,,4
PSAD,Bio-ethics,See also: JFMG “Ethical issues: scientific and technological developments” for broader social aspects,4
PSAF,"Ecological science, the Biosphere","Note: use for comprehensive scientific, objective and descriptive works on living organisms and their relationship with their environment. See also: PSTS and PSVS below for more specific works. Use RNC “Applied ecology” for prescriptive, ‘issues’-based and environmentalist approaches",4
PSAG,Xenobiotics,,4
PSAJ,Evolution,,4
PSAK,Genetics (non-medical),See also: TCBG “Genetic engineering”,4
PSAK1,DNA & Genome,,5
PSAN,Neurosciences,,4
PSB,Biochemistry,,3
PSBC,Proteins,,4
PSBF,Carbohydrates,,4
PSBH,Lipids,,4
PSBM,Biochemical immunology,,4
PSBT,Toxicology (non-medical),,4
PSBZ,Enzymology,,4
PSC,Developmental biology,,3
PSD,Molecular biology,,3
PSF,Cellular biology (cytology),,3
PSG,Microbiology (non-medical),,3
PSGD,Bacteriology (non-medical),,4
PSGH,Parasitology (non-medical),,4
PSGL,Virology (non-medical),,4
PSGN,Protozoa,,4
PSP,Hydrobiology,,3
PSPF,Freshwater biology,See also: RBKF “Limnology (freshwater)”,4
PSPM,Marine biology,,4
PSQ,"Mycology, fungi (non-medical)",,3
PST,Botany & plant sciences,,3
PSTD,Plant physiology,,4
PSTL,Plant reproduction & propagation,,4
PSTP,Plant pathology & diseases,,4
PSTS,Plant ecology,,4
PSTV,"Phycology, algae & lichens",,4
PSV,Zoology & animal sciences,,3
PSVD,Animal physiology,,4
PSVH,Animal reproduction,,4
PSVL,Animal pathology & diseases,,4
PSVP,Animal behaviour,,4
PSVS,Animal ecology,,4
PSVT,Zoology: Invertebrates,,4
PSVT3,Molluscs,"Class here: gastropods, bivalves, octopuses, etc",5
PSVT5,Crustaceans,"Class here: crabs, shrimps, lobsters, woodlice, etc",5
PSVT6,Arachnids,"Class here: spiders, mites, ticks, scorpions, etc",5
PSVT7,Insects (entomology),"Class here: lice, fleas, beetles, ants, butterflies (lepidoptera), bees, etc",5
PSVW,Zoology: Vertebrates,,4
PSVW1,Fishes (ichthyology),,5
PSVW3,Amphibians,"Class here: frogs, toads, newts, salamanders, etc",5
PSVW5,Reptiles,"Class here: tortoises, lizards, snakes, crocodiles, etc",5
PSVW6,Birds (ornithology),,5
PSVW7,Zoology: Mammals,,5
PSVW71,Marsupials & monotremes,"Class here: kangaroos, koalas, platypus, possums, etc",6
PSVW73,Marine & freshwater mammals,"Class here: cetacea and sirenia – whales, dolphins, seacows, etc. Class seals, sea lions, walruses, etc under PSVW7",6
PSVW79,Primates,"Class here: lemurs, monkeys, apes",6
PSX,Human biology,,3
PSXE,Early man,"Class here: hominidae and human forebears, Cro-Magnon Man, Neanderthal Man, etc",4
PSXM,Medical anthropology,"For Physical anthropology, use JHMP “Physical anthropology”",4
R,"Earth sciences, geography, environment, planning",Do not use “R” on individual books; select appropriate code(s) from Section R below,1
RB,Earth sciences,See also: RGB “Physical geography and topography”,2
RBC,Volcanology & seismology,,3
RBG,Geology & the lithosphere,See also: PHVG “Geophysics”,3
RBGB,"Soil science, sedimentology",,4
RBGD,Geological surface processes (geomorphology),"Class here: erosion, glaciology",4
RBGF,Historical geology,"Class here: plate tectonics, continental drift",4
RBGG,Petrology,,4
RBGH,Stratigraphy,,4
RBGK,Geochemistry,See also: PNT “Crystallography”; PNV “Mineralogy and gems”,4
RBGL,Economic geology,Class here: petroleum and mining geology,4
RBK,Hydrology & the hydrosphere,,3
RBKC,Oceanography (seas),,4
RBKF,Limnology (freshwater),,4
RBP,Meteorology & climatology,,3
RBX,Palaeontology,,3
RG,Geography,"Note: with RG* codes, assign also Geographical qualifiers as appropriate. For World atlases, Globes and World maps, use GBGM “World atlases / world maps”; for Place names and gazetteers, use GBGP “Place names and gazetteers”; for Road atlases and maps, use WTRD “Road atlases and maps”; for Travel maps, use WTRM “Travel maps”; for Street maps and city plans, use WTRS “Street maps and city plans”; for Historical maps and atlases, use HBTP1 “Historical maps and atlases”",2
RGB,Physical geography & topography,"For oceans and seas, use RBKC “Oceanography (seas)”; for rivers and lakes, use RBKF “Limnology (freshwater)”",3
RGBA,"Arid zones, deserts",,4
RGBC,"Grasslands, heaths, prairies, tundra",,4
RGBF,"Wetlands, swamps, fens",See also: RBKF “Limnology (freshwater)”,4
RGBL,"Forests, rainforests",,4
RGBP,"Deltas, estuaries, coastal regions",,4
RGBR,Coral reefs,,4
RGBS,Mountains,,4
RGC,Human geography,"For historical geography, use HBTP “Historical geography”",3
RGCM,Economic geography,,4
RGCP,Political geography,See also: JPSL “Geopolitics”,4
RGL,Regional geography,See also: GTB “Regional studies”; RP “Regional and area planning”,3
RGM,Biogeography,"See also: RN “The environment” and following; PSAF “Ecological science, the Biosphere”",3
RGR,Geographical discovery & exploration,See also: WTLP “Expeditions” for popular accounts,3
RGS,Geographical maps (specialist),"Class here: specialist / topographical maps only, with another code indicating subject where possible, eg with RBGL for geological maps of mineral resources etc. For general folded maps, including Ordnance Survey etc, use WTRM “Travel maps”",3
RGV,"Cartography, map-making & projections",,3
RGW,Geographical information systems (GIS) & remote sensing,,3
RGY,Geodesy & surveying for maps & charts,,3
RN,The environment,"See also: TQ “Environmental science, engineering and technology”; KCN “Environmental economics”",2
RNA,Environmentalist thought & ideology,"Class here: ecocentrism, technocentrism, deep ecology, ecofeminism, etc",3
RNB,"Environmentalist, conservationist & Green organizations",,3
RNC,Applied ecology,"Note: use for works taking a wide-ranging or ‘issues’-based approach. See also: Section PS “Biology, life sciences” and following for specific and scientific works",3
RNCB,Biodiversity,,4
RND,Environmental policy & protocols,,3
